000,unknown
02,unknown
03,unknown
06,unknown
08,unknown
0,n
0,unknown
1000,n
1012b,n
1013a,n
1.0,n
10,unknown
115–136,n
1.1,n
11,unknown
1.2,n
12,unknown
1.3,n
13,unknown
1.4,n
14,unknown
15,unknown
16,unknown
17,unknown
1860,unknown
1873-1895,n
1873-1947,n
1881-1976,n
1885-1890,n
1894,unknown
18ª,adj
18,unknown
19:00,n
1900,unknown
1940,unknown
1942,unknown
1943,unknown
1944,unknown
1945,unknown
1947,unknown
1948,unknown
1950,unknown
1951,unknown
1953,unknown
1954,unknown
1955,unknown
1956,unknown
1957,unknown
1958,unknown
1959,unknown
1960,unknown
1968,unknown
1972,unknown
1973,unknown
1974,unknown
1975-1977,n
1976,unknown
1977-1979,n
1979-1981,n
1981-1983,n
1981-1984,n
1983-1985,n
1985-1987,n
1987-1989,n
1987,n
1989-1991,n
1990,unknown
1991-1993,n
1993-1995,n
1995-1997,n
1997-1999,n
1999-2001,n
19,unknown
1,other
1º,unknown
1p36,n
1,unknown
2000,unknown
2001-2003,n
2003-2005,n
2005-2007,n
2007-2009,n
2009-2011,n
200,unknown
2011-2013,n
2013-2015,n
2015-2017,n
2017-2019,n
2019-2021,n
2021-2023,n
2.0,n
20th,adj
20,unknown
21,unknown
22,unknown
2.354,n
23,unknown
2.439,n
24,unknown
2.504,n
25,unknown
26,unknown
277x277px,n
27,unknown
28,unknown
29,unknown
2,unknown
3.0,n
30°,n
30,unknown
3.1,n
31,unknown
360°,n
365,unknown
3.9,n
3,unknown
400,unknown
4.0,n
474,unknown
476,unknown
4,n
4,unknown
51–57,n
523,unknown
526,unknown
534,unknown
535,unknown
551,unknown
553,unknown
5,n
5,unknown
6.35mm,n
68k,n
6,unknown
768,unknown
770,unknown
781,unknown
7,unknown
897,unknown
8ª,adj
8,unknown
'900,n
9,unknown
a4,n
a,adv
aarhus,n
aars,n
a,art
ab,adv
abbandonato,v
abitato,v
abiword,n
abw,n
acariformes,n
acarina,n
access,n
ac,conj
acropolis,n
acta,n
action,n
adattato,v
addice,v
aggiunto,v
ai,n
album,n
align,n
alimentato,v
all,adj
al,particle
a l',prep art
al,prep art
alt,n
altri,adj
al,unknown
amateur,adj
ammalare,v
ammalarsi,v
ammalato,n
ammaliante,adj
ammasso,n
